Account	Block	Ccy	#	Amount	Ethers	Old Token Balance	New Token Balance
0x4d840c607c3c6544e509c4bc23363b01416055f8	3638466	ETH	1	750	750	112500	112500
0xac23c61bb84cd8691eee200717b15f3b9a66d263	3638466	ETH	2	48	48	7200	7200
0x6319f3563897f889b0a6ca45c9be588696215a16	3638466	ETH	3	40	40	6000	6000
0x0fe627c2fa0de3cf2f3ccc31c6a045003347480f	3638466	ETH	4	3000	3000	633999.99999998	634000
0xf3f24e3c68bf5f0bd4d7f7c0acf35a51197983c1	3638466	ETH	5	3.08736968	3.08736968	463.105452	463.105452
0x29f91bda9024f793ed720c0f19505f29ce3c05bb	3638466	ETH	6	2.000002591943359346	2.000002591943359346	300.00038879	300.00038879
0xdf811bc985de38659c92570efe3cc63c3162af39	3638466	ETH	7	31	31	4650	4650
0x5d82e6cf79b6d9c0f4e5a719d55ca8f983f9a557	3638466	ETH	8	10	10	1500	1500
0x98d5f2d180a811e1ef17a2b3d501242d0a714ee7	3638466	ETH	9	0.356775	0.356775	53.51625	53.51625
0xd4f9269a567cfded3b6b7cfc3ae2f894fadcf72f	3638466	ETH	10	10	10	1500	1500
0x0bc0078b4767ffc4cab1dc9808967dca21876585	3638466	ETH	11	40	40	6000	6000
0x2e2f2b688ec2fcb48742df66f436c5ec5aa425b3	3638466	ETH	12	50	50	7500	7500
0xd131f6c3957d70a74cb28737528cb609c45ee509	3638467	ETH	13	112.14445	112.14445	16821.6675	16821.6675
0x2351c5550139e7d6acfff75de700ba9cc414707a	3638467	ETH	14	70	70	10500	10500
0x48640126abdef6682ad0637024f814e3e40196b1	3638467	ETH	15	22	22	3300	3300
0x7ce4a15b0241860e2d98cef1e87fb51f8962e5eb	3638467	ETH	16	14.076	14.076	2111.4	2111.4
0x454f2f38eade8d8ee9933036907012834e0aec53	3638467	ETH	17	2	2	300	300
0x095f327fe759bb73978163f7b4d625691a87a65a	3638468	ETH	18	409	409	61350	61350
0x18dd57e638239c4bf6c6bcfae92a063f5bc4267f	3638468	ETH	19	2006	2006	300900	300900
0x69bbc6c9ddce06e083dff87d405dfbd745264f51	3638468	ETH	20	30	30	4500	4500
0x1fa0374cd277fcd50a2287628ab52cc4e15a0bc4	3638468	ETH	21	100	100	15000	15000
0xc28e5bd6171a55c7a9d1630c7f40f86767772560	3638468	ETH	22	0.8	0.8	120	120
0x5bc265b7bf2938f004cf5b9dbabb0e27813697eb	3638468	ETH	23	100	100	15000	15000
0x1d3c6343318e4db1cff6503e502ef406bfebe9f4	3638468	ETH	24	10	10	1500	1500
0x1fb6fb61b90f06d2553b7eff422761bffa3937f8	3638468	ETH	25	3	3	3821.57333332	4159.51466666
0x9b57b141d0ecbdf7dcd36902b8fc0ce79ddb175f	3638468	ETH	26	600	600	114359.99999999	114360
0xdfd53961596205b8301535c5acf9f36f59586d60	3638468	ETH	27	2	2	300	300
0x7b93221b0421045824ec9949a17267d77360c71e	3638468	ETH	28	40	40	6000	6000
0xdd2300e8244ac0e4184dcbd7e254a12c47ef5cf9	3638468	ETH	29	300	300	45000	45000
0x67bd2e99b50b80a42d8870c72fd3bb16492ec4bc	3638468	ETH	30	20	20	3000	3000
0x188f94a39c593047a705bc7049fb3f16f240a0fe	3638468	ETH	31	231	231	34650	34650
0x4ef3a16ff7882cd16104162d6b4e221bc697012a	3638468	ETH	32	14	14	2100	2100
0xd03f8e8d739fdd6661c682e0736d31de578dc94c	3638468	ETH	33	83	83	12450	12450
0x7006e83f868f1ff893053c100a5cfb39ef586002	3638468	ETH	34	15300	15300	2295000	2295000
0x66e369a3a9c3678e3e4d05ef6a9886181c9a2c5b	3638468	ETH	35	150	150	19500	19500
0x9a26b15ede82cf5419c64a7eaeb75b6141c7c2a7	3638468	ETH	36	20	20	2600	2600
0xd9459cc85e78e0336adb349eabf257dbaf9d5a2b	3638468	ETH	37	100	100	13000	13000
0x8fa0898f7f62f57b3671f176fbe6dc457c625f1c	3638468	ETH	38	84	84	10920	10920
0xa85864d43e4cd0d362d14be7680461811ca9b321	3638468	ETH	39	20	20	2600	2600
0x98d0be96ea8d17743a0bd2ffc1e72e5e35287fcc	3638468	ETH	40	50	50	6500	6500
0xffc13ae907511ed5cdbc336d748af661b92b6af0	3638468	ETH	41	39.5	39.5	5135	5135
0x69893a8dbf7234d944b75f271e0fe22a2dd3adfa	3638468	ETH	42	375	375	48750	48750
0xb175e4b5458f125a6e96f0a146f20da656be5e88	3638469	ETH	43	1050	1050	136500	136500
0x09704f6e7fd761722724090580491e3218fd677a	3638469	ETH	44	699	699	90870	90870
0x5e9a69b8656914965d69d8da49c3709f0bf2b5ef	3638469	ETH	45	50	50	6500	6500
0xf2b869a5dab5b32602090cf9e443f5d19c080635	3638469	ETH	46	30	30	5900	5900
0x6777a65180fa2bee49aea67d3592f07caa8b7757	3638469	ETH	47	30	30	3900	3900
0x19742f30dcb179a03304ac8b23e58f168be69d1c	3638469	ETH	48	5	5	1150	1150
0x28cd36b7b86b3d6a8d53f0332fc3563489aee858	3638469	ETH	49	7	7	910	910
0x98ab52e249646ca2b013af8f2e411bb90c1c9b4d	3638469	ETH	50	322.11112912	322.11112912	41874.4467856	41874.4467856
0xe10c540088113fa6ec00b4b2c8824f8796e96ec4	3638469	ETH	51	1000	1000	1301872	1407286.4
0x6df24f6685a62f791ba337bf3ff67e91f3d4bc3a	3638469	ETH	52	75	75	9750	9750
0xdf3fff1b9c9e8fcf6a37e84c9218490689236f65	3638469	ETH	53	6	6	780	780
0x6a83dce6147fa16273678c712421e0b09d89bbff	3638469	ETH	54	200	200	26000	26000
0x06fd988fd0c8ad705f70ca117922d3009cd0224c	3638469	ETH	55	2.187640963	2.187640963	284.39332519	284.39332519
0x2d0efca5e73e90c7707931678dfaef38c068ac10	3638469	ETH	56	2283	2283	296790	296790
0xf8a12fdc1ea9f4c0a850fb59907a73c28960fb28	3638469	ETH	57	0.33	0.33	39.6	39.6
0xe207d0ade12c69ba9616bad8cd404733103a3c0e	3638469	ETH	58	20.11	20.11	2413.2	2413.2
0xab08013e542aaab36fbd0caaf9455c730fbfc138	3638469	ETH	59	6	6	720	720
0x848d4791016ba03801a7938647e919c8b5d6dcbd	3638469	ETH	60	5	5	600	600
0xc6b1e0517995a96a9275cd305257c78a0efe3320	3638469	ETH	61	23	23	2760	2760
0x06eb39d64c4386f286309ed96509b88aa8fab525	3638469	ETH	62	150	150	18081.08799999	18081.088
0x8ad88087765f5e7d87350c31c4782d23dd96eb8a	3638469	ETH	63	7	7	840	840
0xf2cb9f99e5332449631370920844a97f2ac8ad80	3638469	ETH	64	6	6	720	720
0xfab697ab7b92b3ec378a6a328c47d6581e4538d3	3638469	ETH	65	10	10	1200	1200
0xc066eceb62a3ea34b823b2feb7aa9c7e5783761e	3638469	ETH	66	30	30	3600	3600
0x469d436eb729218446db5dd8cd732c135c527fe4	3638469	ETH	67	1000	1000	126177.29583007	126177.29583007
0xe511309831f9eb7bc11b78b6cd30153c631b720c	3638470	ETH	68	5	5	801.40352658	801.40352658
0x2e3a5f60a5590959b068587c47e643e18e7f5cdf	3638470	ETH	69	158	158	18960	18960
0xf47b5ce03bdb1d3eab5950714658afe749ce5119	3638471	ETH	70	128	128	15360	15360
0xfac86ae0b318816c1604b15a23e67f7acd4cdd61	3638471	ETH	71	5	5	600	600
0x4d88f005e8a423fa8ec4db4754d127aa64e28bce	3638471	ETH	72	20	20	2400	2400
0x346ad0d35004d2700f255465511099350fd6407e	3638471	ETH	73	5	5	600	600
0x518611649ee8fefed0a4da3d47bab213c79ce9b5	3638471	ETH	74	3.56913	3.56913	428.2956	428.2956
0xac1d06b22401d81b7a4b28e716f2cc07e8fca068	3638471	ETH	75	13	13	1560	1560
0x40efb7b9b7ececea700637edaa9833804c385674	3638471	ETH	76	16	16	1920	1920
0x34e1fa23afe3486a593384bd5a80f6e1616c95b5	3638471	ETH	77	28.585496172	28.585496172	3430.25954064	3430.25954064
0x1618fd1bfe7ff77f9efedfd2cf271bbee11d3faa	3638471	ETH	78	8	8	960	960
0x009a55a3c16953a359484afd299ebdc444200edb	3638471	ETH	79	70	70	8400	8400
0x5098edb8a0a25a7cd021aeceea9162dd48f37069	3638471	ETH	80	9.9	9.9	1197	1197
0xbc7dc9e4d5b248a77e1956a7a883f6185419de44	3638471	ETH	81	5	5	600	600
0x83bad39f067ef72e354f2ea9d318eaad381a7f15	3638471	ETH	82	5	5	2315	771.5
0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835	3638471	ETH	83	526	526	63120	63120
0x362fbcb10662370a068fc2652602a2577937cce6	3638471	ETH	84	75	75	11000	11000
0xb817c6533a4dd91ff118178c5ba1e39a369c571a	3638471	ETH	85	15	15	1800	1800
0xf8beb9c94bc5b1b7a19d71d9675579533e92318a	3638471	ETH	86	20	20	2400	2400
0x01fe8316fec3a38f1a0e959d1314e4edf1491c84	3638471	ETH	87	0.3	0.3	320.8047473	377.76569677
0x07cde58672343e8a9103856c9ef40e676af03d96	3638471	ETH	88	29	29	3557	3557
0x45d983b1e718a5570785d69909bae6a21588a601	3638472	ETH	89	30	30	4674.66666666	4674.66666666
0xea57aed5f15996a7d3a29cc3d41b76cb6951f906	3638472	ETH	90	0.9818	0.9818	117.816	117.816
0x575aad1b2c069cdb6d86882b67131f25a02fe4f6	3638472	ETH	91	100	100	12000	12000
0x32be343b94f860124dc4fee278fdcbd38c102d88	3638472	ETH	92	24.99	24.99	5769.2010867	5769.2010867
0x32be343b94f860124dc4fee278fdcbd38c102d88	3638472	ETH	93	0.79	0.79	5769.2010867	5769.2010867
0x32be343b94f860124dc4fee278fdcbd38c102d88	3638472	ETH	94	3.99	3.99	5769.2010867	5769.2010867
0xdacc0fd259ce0de2829b38a0765970e7ab65346c	3638472	ETH	95	4.895	4.895	3255.39999998	3531.4
0xce00e485e498c712eca00a7329140bb0fb68ffdd	3638472	ETH	96	3	3	360	360
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98	3638472	ETH	97	0.51506755	0.51506755	461.56010598	283.759306
0xc1c6fad0739aedb3f7ee5827012f4af283a6bb12	3638473	ETH	98	27.7	27.7	3324	3324
0x76c0274be2fd12d01cf845303074e617d1ad16cf	3638473	ETH	99	2	2	240	240
0xd46d9fe2d8f991913bd4f77536abba4598ea29a9	3638473	ETH	100	90.2	90.2	10824	10824
0xa22c521f4c8e38539f520265536313c2934bbdaf	3638473	ETH	101	15.02	15.02	1802.4	1802.4
0x424fbb3a809670ffece7afd8278294ca513ab4fa	3638473	ETH	102	250	250	30000	30000
0x92e260eadb222cfaf63d9d7000499db2078e1b0c	3638473	ETH	103	1.4	1.4	168	168
0xbf21a2a8f6892910d0eb5f0a5aa184e55eff30c9	3638473	ETH	104	119	119	14280	14280
0x49506c14ecc0fee030f7f197495424bad3094133	3638473	ETH	105	38.1485	38.1485	4577.82	4577.82
0x9ff6537f2156657fdd1a58d91f3d4361e7790dc9	3638473	ETH	106	56.8231284300000307	56.8231284300000307	6818.7754116	6818.7754116
0x8e0cea2288b76d8db2dc65fb81bfe4c9f8d65856	3638473	ETH	107	35.000462	35.000462	4200.05544	4200.05544
0x6f72893c3137fca5e327eb6f2989cfc78fa42cc6	3638473	ETH	108	1	1	120	120
0x034577fda040b46beb02915b9bac5f451f12341e	3638473	ETH	109	6	6	770	770
0x44073a6eec7932cd70c9a9b14f206f138cd71638	3638473	ETH	110	0.5	0.5	60	60
0x07ecad1e1ac69239a62f6e000942056f79a2e4cf	3638473	ETH	111	20	20	2400	2400
0x9a9d0d378b560cc351f01763964c78d35619f9c9	3638473	ETH	112	2	2	240	240
0x1e9de4cc291e8da85785293a70846dea0f59a1f3	3638473	ETH	113	5	5	600	600
0x77ee51e80bd42e46b2c38bec2633d30790f2e15e	3638473	ETH	114	0.01272913	0.01272913	1.5274956	1.5274956
0x7f034dfbf145f000d415d39ae12df7560000ce32	3638473	ETH	115	56.269952	56.269952	6752.39424	6752.39424
0xe0fa89456f7cc04208fb94004986012421218bee	3638473	ETH	116	367	367	44040	44040
0x673bb50dc115c8534427370060a04fa8ec66ecdf	3638473	ETH	117	0.0788	0.0788	9.456	9.456
0xfba76494b29951db4696809f58aee08b1955e6bd	3638473	ETH	118	1	1	320	320
0xb1dad7ca94810ee9bcb9b2aaed811b7cd912475e	3638474	ETH	119	16	16	1920	1920
0x5dd915d0414fc1936d06d187c3c69d743263ae02	3638474	ETH	120	100	100	17000	17000
0x662334814724935b7931ddca6100e00d467727cd	3638474	ETH	121	54	54	6480	6480
0xdbeaf4e015ec3097d10ef33a2a641f5719534de2	3638474	ETH	122	1500	1500	180000	180000
0x4d6ae6e909e3b6838e47bcc3a1a51e1267c8f7ed	3638474	ETH	123	300	300	44500	44500
0x731ada89beff4087a0997211c3d7a5b5408dd68b	3638474	ETH	124	80	80	9600	9600
0x03cb98d7acd817de9d886d22fab3f1b57d92a608	3638474	ETH	125	64.193092823212222365	64.193092823212222365	7703.17113878	7703.17113878
0xd58cf1ba425b3a605435e719aedef1060c707cd8	3638475	ETH	126	41.4	41.4	4968	4968
0x26a87e97a3941f5811cf2da55a275b00150e6016	3638475	ETH	127	1	1	120	120
0x0d1554e657cd8ffcaacd2c4fb17cd78f4ea9f064	3638475	ETH	128	13	13	1773.28533333	1773.28533333
0xfe50ea476d09444a05f54b196c502f59010726e0	3638475	ETH	129	4	4	480	480
0xd0f5f5f4b384c20b3d24f7a9128761b5a642f2f9	3638475	ETH	130	0.3458	0.3458	41.496	41.496
0x14a301c60df1f2d8c129f667376e860a2f4c6386	3638475	ETH	131	10	10	1217.4662976	1217.4662976
0xd464cf190ce5b7602f27fff3dc3a6e1f2973087e	3638475	ETH	132	1	1	120	120
0x6d177ed1a12bab67a097f68f6cb17e66d999b7a2	3638475	ETH	133	0.0067485374897374	0.0067485374897374	0.80982449	0.80982449
0x30a000329acc0b42560daa98a3a0d97a6cf1e1c0	3638475	ETH	134	55.50534233	55.50534233	6660.6410796	6660.6410796
0x6a84c6aab721d3fa7424afd57eb0b9676f7efe15	3638475	ETH	135	11.99475	11.99475	1439.37	1439.37
0x3e908579ec33db10c32041cfa50a737316eb2b7c	3638475	ETH	136	8	8	960	960
0xde48581342f002bf7f8d66701472e45d4bfe82f3	3638475	ETH	137	0.572584	0.572584	68.71008	68.71008
0x866a0ceaa16d7356c86c6b92efc41c877c46f08a	3638475	ETH	138	310	310	37200	37200
0x0052b5a33d98090ec092da924818ea416c5a618a	3638475	ETH	139	4.9058	4.9058	588.696	588.696
0xdbffbf2c8ab2683a7de4ec5d59000eac38eb567c	3638476	ETH	140	3	3	460	460
0x0ec3540c1ec704847248049b104bd9ce6d30660f	3638476	ETH	141	85	85	10200	10200
0x006599882dcf6943b6670536e264fa24620095a7	3638476	ETH	142	25	25	3000	3000
0x3e65367044284ba0b828dd123673a0112b529dab	3638476	ETH	143	35	35	4200	4200
0xdbf7511cd399ca043235ab0c8f896a62d69ad6f9	3638476	ETH	144	312.981476923	312.981476923	37557.77723076	37557.77723076
0x554c927698a68cab06cbcfa76b7960a2a1f82e8b	3638476	ETH	145	1.19127552	1.19127552	142.9530624	142.9530624
0x18ec06065afd93736470735e4f4a2855348ea7d4	3638476	ETH	146	2000	2000	440000	440000
0x63c8dfde0b8e01dadc2e748c824cc0369df090b3	3638476	ETH	147	200	200	24000	24000
0x1caa011f4164b924bae69bfd81be1ecead17468a	3638476	ETH	148	47.15	47.15	5658	5658
0xf94be84c9f085f0462976b220adb4b89a8a5136f	3638476	ETH	149	1.5	1.5	180	180
0x1c5df031d955423af3dbe322876fce10fdc1c59a	3638476	ETH	150	10	10	2000	2000
0x2dc651f488c597f7ab241a04d2695616ef7e2d9d	3638476	ETH	151	49.98807	49.98807	5998.5684	5998.5684
0x63a305d4e8ce78cb7a8ae5f3c5ae3e26c317dedf	3638476	ETH	152	12.9308	12.9308	1551.696	1551.696
0x14a301c60df1f2d8c129f667376e860a2f4c6386	3638476	ETH	153	0.14555248	0.14555248	1217.4662976	1217.4662976
0xd1ca9a88cb903bbe2652e2499d281f9e795198a6	3638476	ETH	154	1.0692	1.0692	128.304	128.304
0x1e6c1b3fd9e6c81fa58e8e319ecab72bef63e10e	3638476	ETH	155	2	2	240	240
0x384b49faa20e0bde4e7ae3aa47ab6035bb2b71b9	3638476	ETH	156	10	10	1200	1200
0xe7a4421f081557f98f7522888602cef164a6c060	3638476	ETH	157	0.0458	0.0458	5.496	5.496
0xad7f84324d7e4e042ac6bce6f29c2f9b4f536cc6	3638476	ETH	158	25	25	3000	3000
0x818e5d82465a12d219e5f8350159264c28541c8e	3638476	ETH	159	14.2	14.2	1714.245593	1714.245593
0xbea279c471c6689f4b429163741646912d8da51b	3638476	ETH	160	5.06083758	5.06083758	607.3005096	607.3005096
0x00c4904fb17a6ecbfacb609273c89791aba0a5cd	3638476	ETH	161	29.9965171	29.9965171	3599.582052	3599.582052
0x979488402dc8b810e0e7956d4bf095450a01da0a	3638476	ETH	162	60	60	7200	7200
0x4870ca24d8b398743c02abfac346cf9dce476b28	3638477	ETH	163	0.5	0.5	60	60
0x977c827a997e6cb67e70daeaa7145b17d0cb8bda	3638477	ETH	164	80.84980674	80.84980674	9701.9768088	9701.9768088
0xc2f757fbd96e1e81961b5af765ddd375ca30ef94	3638477	ETH	165	100	100	12000	12000
0x8a020c96223a3f205160cdee2be9e9454455a7cc	3638477	ETH	166	26	26	3120	3120
0x000ea0d8e4f37e527308ca4a2939c1e64ffaf6c0	3638477	ETH	167	287.9	287.9	34548	34548
0xf5f673c61082fd1e7544f3de326fd4fb566c2b6b	3638477	ETH	168	76	76	9120	9120
0x041dedfec783d8d6d8bd4f81cb3675042151184d	3638477	ETH	169	100	100	12000	12000
0xfaf8a281f70ffc419687e1ddc3b6dd4283a3761e	3638477	ETH	170	20	20	2400	2400
0xde6b7bcb7023d4f28c6499d1b7a5399fb8bd766b	3638477	ETH	171	6	6	720	720
0xba079b44c7079615cb7e56b1e4e0fd566db419df	3638477	ETH	172	5	5	600	600
0x23b26cfa49250b8124210618945de539fa400794	3638477	ETH	173	310	310	37200	37200
0x36a78bf853c2cfcdceaa1b1ffa920ea24af8cffa	3638477	ETH	174	68	68	7480	7480
0xbed4c8f006a27c1e5f7ce205de75f516bfb9f764	3638477	ETH	175	60	60	8600	8600
0x0bc926e3060eb99b3a98c320201545f8a0fade46	3638477	ETH	176	14	14	1540	1540
0x4441304934840a12f79111e5af7897b8f405908c	3638477	ETH	177	14.3	14.3	1573	1573
0x512ca4241e2cd1555fd1e66fbeb1bd20e6ebcfaf	3638477	ETH	178	66	66	7260	7260
0x4e3df0dd86d7edd13e05d74be4a2d9a99892905b	3638477	ETH	179	100	100	11000	11000
0x934176c1aca721cfa26521451279f5d5a44c7d96	3638477	ETH	180	124	124	23640	23640
0xcff96ee0323e7c6102af1b92d6076f7b24a1dab5	3638477	ETH	181	1.745	1.745	34491.95	5336.95
0x6dd9530b2cb8b2d7d9f7d5d898b6456ec5d94f08	3638477	ETH	182	50	50	5500	5500
0xe8bcb531c63d1e0093d9c9ccdfd354a691b408ec	3638477	ETH	183	25	25	3250	3250
0x794aa7cae281aade1e17e912bc84e29b35ad1d14	3638477	ETH	184	35	35	3850	3850
0xe039a7ec27ab480cb951ad96f9ae09c0cce40942	3638477	ETH	185	1.995	1.995	219.45	219.45
0xb7a80c36a8eccadb46c9d99103ef3f1e7db48401	3638477	ETH	186	12.2	12.2	1342	1342
0x47f2d0af0abd13d58db33b1ef810fd9fb0271151	3638477	ETH	187	20	20	32431.884	5578.6884
0x5753b4322dca5abb39284e4fcba753fb8e887021	3638477	ETH	188	1	1	2006.161057	2006.161057
0x8c1403ee049b5c19e47a4768c49f039231a7d2d0	3638477	ETH	189	30	30	3300	3300
0xf0b622cbb9731f5e58760d5de89ed0e90d1da7b8	3638478	ETH	190	2	2	220	220
0xcf1afa5290795f5b3918b68f9e8b7afc81aab83d	3638478	ETH	191	35	35	3850	3850
0x33d0edc9d1f0407ed7bdd0637de74cfdd24a56ee	3638478	ETH	192	650	650	111500	111500
0x231a110b721ef2fefc6f6c5f1cce38690ea8a17d	3638478	ETH	193	4	4	440	440
0xc25a56ecac2c18eb30cfd464cae3ba1f0c88672c	3638478	ETH	194	250	250	27500	27500
0x32be343b94f860124dc4fee278fdcbd38c102d88	3638478	ETH	195	19.97091897	19.97091897	5769.2010867	5769.2010867
0xe80d5919a41466e0648005d12f57fc00e35837fb	3638478	ETH	196	10	10	1100	1100
0x07cde58672343e8a9103856c9ef40e676af03d96	3638478	ETH	197	0.7	0.7	3557	3557
0x8c401b4718236ce3bf6338c5f729f0ad9b9d8525	3638478	ETH	198	146	146	16060	16060
0xe6cf9e316738fea7be315b9d0024de7d87c2e44b	3638478	ETH	199	500	500	55000	55000
0x8c1719a5d20fd7f64d0ed282911e820655754693	3638478	ETH	200	190	190	20900	20900
0xe0bd523717a703e9a8b29e81519abb66e5ad122c	3638478	ETH	201	1	1	110	110
0x25e80008f94531e8c7daa359d32270cff13904f2	3638478	ETH	202	70.495082590000005	70.495082590000005	7754.4590849	7754.4590849
0x40679df3af427e82a7749572eb317131f590fe04	3638478	ETH	203	1	1	110	110
0x020c692bd66fd9b715ebd65e1f1c957392a4fa73	3638478	ETH	204	4.342234220000002	4.342234220000002	477.6457642	477.6457642
0x8aaab09e92bd0da23d9382c476f62d4142e86a2e	3638478	ETH	205	200.96714925	200.96714925	22106.3864175	22106.3864175
0xcba61d0725b42733e9f73d0264b92768551fbb3d	3638480	ETH	206	8	8	880	880
0x324d9c68cdfff092df515075989a2a1a06417ba3	3638480	ETH	207	1	1	110	110
0xeafbd0496447667a64c55b00584891c0f92650f3	3638480	ETH	208	300	300	33000	33000
0xa0eaf152ee4d6b8e556e134320446d7a4e5268af	3638480	ETH	209	3.1	3.1	341	341
0xce5e16a5c9b79393fec673e94fb574a74e9b400c	3638480	ETH	210	5	5	550	550
0x3fc13fdb76a8ad848477366c122663f472e901fa	3638480	ETH	211	0.649799	0.649799	156.7929957	156.7929957
0x170938bb702ffc0bf38755e0c1ee3b21fda9c64c	3638480	ETH	212	5.5958	5.5958	615.538	615.538
0x97f735b14e72290971ba4e0864d42010dbcb99ee	3638480	ETH	213	9.822559	9.822559	1080.48149	1080.48149
0x2728b9f03726e0c8f8bc87d492c67b6d4efd0a75	3638480	ETH	214	4.94	4.94	543.4	543.4
0xaea2d341d3bad0c8e2febba66670127532cb7a01	3638480	ETH	215	0.25	0.25	27.5	27.5
0xaeefbcbd883325111c9996fee223eb6745a9c362	3638480	ETH	216	15	15	1650	1650
0x44b6edf19c6b8556760921844a95f12654e6dae6	3638480	ETH	217	20	20	2200	2200
0x878d6f8a9d4390cae5045a2ba3fd108fd9d43dff	3638480	ETH	218	16.5	16.5	1815	1815
0x1f30d0bd1f225ba5811606242d8d9311ac953d96	3638480	ETH	219	20	20	2200	2200
0xb2f2b14755e7cc707a7c5d4501ee651465913eb3	3638480	ETH	220	5	5	650	650
