Account	Block	TxIndex	Ccy	#	Refund	Tx
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638621	39	GNT	46	100000	0x9087f35e0582c6346b98dd10a35209bb4183e5a349100e4345ac0e71ce03f8e3
0x6664d7a1fc816810827c477c0ab1a42ecf7d6b57	3638621	54	GNT	47	10000	0xcad8581b25b787fba6c9f4b1bebb959b9c45f189c68444776285812a09299f26
0x15dedd9133da5b0d01e93cb897b466a714902f75	3638623	46	GNT	49	215	0x72ea9bcaa53bb030f49c98290dad0b56d4d54fecea848f48eca645934588c99a
0x5fbb847c76d5690777ba054e384b5ae7287731fa	3638623	51	GNT	50	350.004	0x934eeab606797f64141444902f11735f517e7846b53162f89d37cbbb6bda1ce1
0x996130491d7695d6531ae8753ae5a2f96cfdc2df	3638623	60	GNT	51	4800	0xa34feed80976acb31a30e658c1d16ebe41c2c4181d8b9d07c87144a1cc273ab9
0x18b797975bee7a20cfd0f1b7f8c591dbe3a1a924	3638636	27	GNT	61	540	0xf7bb4253ba71b567fc550912c53ab8e1fde61552850913bfb5c63a16de2e582d
0x55eae618ee913cc118f743b9668ab79bb2eba77b	3638638	57	GNT	62	2992.48	0x627db222f7c870d44e4fd9b8f79a5ea0b6071ee18380f555aa3860d2779aea39
0x15dedd9133da5b0d01e93cb897b466a714902f75	3638638	65	GNT	64	200	0x97d2056dd35fbfcd338683e18b369e00ce8949ac2106f791540c43e1d426f166
0x8bf97c47f4e8e95e3220d75f3438ec7b54f002d7	3638658	47	GNT	76	9.99	0xc6574f74b72994e65fb2d813834491d1f165756bcba86064a1236117bcd622b5
0xe424ebbecc3a948d17900b5e7b8797afe35de70a	3638658	51	GNT	77	50	0xe203e6bee12cb638bae8c2e1f0d69b8623d391103588e4431fbb9adb88fbfd83
0x6664d7a1fc816810827c477c0ab1a42ecf7d6b57	3638664	22	GNT	81	10000	0x4e2c9c98f9ce782b007af4d276d9218a55b1292b0d906d5de6326e47db2e8620
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638684	27	GNT	89	100000	0xa7fbdf1b3a53db19a8f4cce94f6ea87a5162e5330d2f35912747819a4d4cc61f
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638688	14	GNT	92	80000	0xa4a481d697bb76d560d2b1b835c0023d958eeba3f630d0f41d90a6f49b1e0b68
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638702	49	GNT	101	80000	0xa6c5c2cbe722c8e0ec905aa539f55b0ff39da5096d598123e20472de830addab
0x831bf10dbf32ebe45063b6d872727d96d30cc902	3638723	36	GNT	103	100000	0x8e2ccd12c176c1102d56f1b813cc1cda36ef44ea0421fe5b5746834ee9dc4894
0x37254fcc9c1c564d7c9200d30263ef3443b46491	3638729	65	GNT	105	20000	0xe3f98997c491779e2c609df7c17bd6c368f8254d26f31e2fbf7d6b55e20677f4
0x6664d7a1fc816810827c477c0ab1a42ecf7d6b57	3638743	50	GNT	110	15000	0x571e1dfca878beba5c94f4736becffaa9b7909a1b3fdfa6f5c3028fee6074ead
0x00726931f8acd40f0d03fe85b8b1f18731e4058b	3638782	9	GNT	113	6759.035941	0x787bb08a4e65878f5bfc7def47505a3d4b1cb4a4f52351fe07f8006dfd9c1a46
0x08c74883ecb44e68c3665d315155bdc3cd203679	3638802	4	GNT	114	115.98	0xd729216ada0332449aa2e9f66359a467b8fc7a1717ff458f520656b071a1d655
0x37254fcc9c1c564d7c9200d30263ef3443b46491	3638593	26	MKR	18	0.978822253	0xef1e223dc7cbdccdac10a0282ac1dc4efffa8b748ea3b13281a51aec93d57003
0x003d1e506652cf80136c56273fc483affc6a8970	3638608	31	MKR	31	1	0xe72d1435fa64a685606a49f2801fb16a96f3e8bcfa8e246f1aab28dfe075b0ad
0x00386a858f55b26359ef417f9c535c12ede754d7	3638655	33	MLN	72	20	0x14264c7cceaa2fc42073d7f3a935f6acf6189e727f87632602d096496756454b
0x00386a858f55b26359ef417f9c535c12ede754d7	3638662	49	MLN	78	41.64960985	0x65b043ed4a5a1044bcb7f5178591871a9285f0c97b37c758f57e2cdc1db9f8f5
